FID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,lat,long
"218",Salt Lake City,USA-UTA,Utah,US,United States,Provincial capital,,"5","100,000 to 249,999","0","0",US_Census_2019,40.6929959962,-111.8919956710
"219",Denver,USA-COL,Colorado,US,United States,Provincial capital,,"3","500,000 to 999,999","0","0",US_Census_2019,39.5780040044,-105.0789956980
"220",Kansas City,USA-KAN,Kansas,US,United States,Other,,"4","250,000 to 499,999","0","0",US_Census_2019,38.9941200669,-94.6265665658
"221",St. Louis,USA-MOS,Missouri,US,United States,Other,,"4","250,000 to 499,999","0","0",US_Census_2019,38.6388809296,-90.3419816555
"222",Jefferson City,USA-MOS,Missouri,US,United States,Provincial capital,,"7","Less than 50,000","0","0",US_Census_2019,38.5800030021,-92.1689996907
"223",Santa Fe,USA-NME,New Mexico,US,United States,Provincial capital,,"6","50,000 to 99,999","0","0",US_Census_2019,35.6830020481,-105.9419966200
"224",Memphis,USA-TNN,Tennessee,US,United States,Other,,"3","500,000 to 999,999","0","0",US_Census_2019,35.1147240471,-90.0003235966
"225",Little Rock,USA-ARK,Arkansas,US,United States,Provincial capital,,"5","100,000 to 249,999","0","0",US_Census_2019,34.7609969339,-92.3100026901
"226",Phoenix,USA-ARZ,Arizona,US,United States,Provincial capital,,"2","1,000,000 to 4,999,999","0","0",US_Census_2019,33.5089980420,-112.1100026850
"227",El Paso,USA-TEX,Texas,US,United States,Other,,"3","500,000 to 999,999","0","0",US_Census_2019,31.7799989568,-106.4500016660
"228",Hermosillo,MEX-SON,Sonora,MX,Mexico,Provincial capital,,"3","500,000 to 999,999","0","0",UN_Data_2010_2020,29.0940030722,-110.9619986890
"229",Chihuahua,MEX-CHH,Chihuahua,MX,Mexico,Provincial capital,,"3","500,000 to 999,999","0","1",UN_Data_2010_2020,28.6309979974,-106.0739996250
"230",Culiacan,MEX-SIN,Sinaloa,MX,Mexico,Provincial capital,,"3","500,000 to 999,999","0","0",UN_Data_2010_2020,24.8049989208,-107.3860015680
"231",La Paz,MEX-BCS,Baja California Sur,MX,Mexico,Provincial capital,,"4","250,000 to 499,999","15920","0",UN_Data_2010_2020,24.1564229529,-110.3095255810
"232",Durango,MEX-DRN,Durango,MX,Mexico,Provincial capital,,"0",,"0","1",,24.0290010319,-104.6629975800
"233",Mazatlan,MEX-SIN,Sinaloa,MX,Mexico,Other,,"3","500,000 to 999,999","15810","0",UN_Data_2010_2020,23.3615069722,-106.2700016150
"234",Zacatecas,MEX-ZCT,Zacatecas,MX,Mexico,Provincial capital,,"4","250,000 to 499,999","0","1",UN_Data_2010_2020,22.7639969448,-102.5549997100
