FID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,lat,long
"2328",Mbeya_Tanzania,TZA-MBE,Mbeya,TZ,Tanzania,Provincial capital,,"0",,"0","1",,"-8.8910010156","33.4389963610"
"2329",Mansa_Zambia,ZMB-LUA,Luapula,ZA,Zambia,Provincial capital,,"0",,"0","0",,"-11.2020029856","28.8909993612"
"2330",Ndola_Zambia,ZMB-CPP,Copperbelt,ZA,Zambia,Provincial capital,,"4","250,000 to 499,999","0","0",UN_Data_2010_2020,"-12.9680010728","28.6340043971"
"2331",Chipata_Zambia,ZMB-EST,Eastern,ZA,Zambia,Provincial capital,,"4","250,000 to 499,999","0","0",UN_Data_2010_2020,"-13.6320029309","32.6449983181"
"2332",Kabwe_Zambia,ZMB-CNT,Central,ZA,Zambia,Provincial capital,,"5","100,000 to 249,999","0","0",UN_Data_2010_2020,"-14.4469980369","28.4470024014"
"2333",Lusaka_Zambia,ZMB-LUS,Lusaka,ZA,Zambia,National and provincial capital,,"2","1,000,000 to 4,999,999","0","1",UN_Data_2010_2020,"-15.4299959597","28.1700002974"
"2334",Tete_Mozambique,MOZ-TET,Tete,MZ,Mozambique,Provincial capital,,"0",,"0","1",,"-16.1640000533","33.5870013050"
"2335","Lumumbashi_Congo, DRC",ZAR-SHA,Shaba,CG,"Congo, DRC",Other,,"2","1,000,000 to 4,999,999","0","0",UN_Habitat_2020,"-11.6800020383","27.5499993859"
"2336",Solwezi_Zambia,ZMB-NWS,North-Western,ZA,Zambia,Provincial capital,,"0",,"0","0",,"-12.1799970135","26.4009963650"
"2337",Mongu_Zambia,ZMB-WST,Western,ZA,Zambia,Provincial capital,,"0",,"0","0",,"-15.2769960569","23.1319984054"
