longitude,latitude
"106.54413","10.488197"
"106.54413","10.488197"
"106.54413","10.488197"
"106.54413","10.488197"
"106.54413","10.488197"
"106.54413","10.488197"
"106.293311","10.620614"
"106.293311","10.620614"
"106.293311","10.620614"
"106.293311","10.620614"
"106.293311","10.620614"
"106.293311","10.620614"
"106.293311","10.620614"
"106.293311","10.620614"
"106.293311","10.620614"
"106.293311","10.620614"
"106.293311","10.620614"
"106.293311","10.620614"
"106.293311","10.620614"
"106.293311","10.620614"
"106.256656","10.636325"
"106.256656","10.636325"
"106.256656","10.636325"
"106.256656","10.636325"
"106.256656","10.636325"
"106.256656","10.636325"
"106.17225","10.773769"
"106.17225","10.773769"
"106.17225","10.773769"
"106.17225","10.773769"
"106.17225","10.773769"
"106.17225","10.773769"
"106.17225","10.773769"
"106.17225","10.773769"
"106.17225","10.773769"
"106.17225","10.773769"
"106.145891","10.688639"
"106.145891","10.688639"
"106.145891","10.688639"
"106.145891","10.688639"
"106.145891","10.688639"
"106.145891","10.688639"
"106.102689","10.692334"
"106.102689","10.692334"
"106.102689","10.692334"
"106.102689","10.692334"
"106.102689","10.692334"
"106.102689","10.692334"
"106.102689","10.692334"
"106.102689","10.692334"
"106.102689","10.692334"
"106.102689","10.692334"
"106.102689","10.692334"
"106.102689","10.692334"
"106.102689","10.692334"
"106.240369","10.745176"
"106.240369","10.745176"
"106.240369","10.745176"
"106.240369","10.745176"
"106.240369","10.745176"
"106.240369","10.745176"
"106.240369","10.745176"
"106.182994","10.66329"
"106.182994","10.66329"
"106.182994","10.66329"
"106.182994","10.66329"
"106.182994","10.66329"
"106.182994","10.66329"
"106.182994","10.66329"
"106.182994","10.66329"
"106.182994","10.66329"
"106.182994","10.66329"
"106.182994","10.66329"
"106.215487","10.655988"
"106.215487","10.655988"
"106.215487","10.655988"
"106.215487","10.655988"
"106.215487","10.655988"
"106.215487","10.655988"
"106.215487","10.655988"
"106.215487","10.655988"
"106.103217","10.635704"
"106.103217","10.635704"
"106.103217","10.635704"
"106.103217","10.635704"
"106.103217","10.635704"
